game_date,season_year,team_name,opp_team_name,venue,period,clock_seconds,situation_type,goals_for,goals_against,player_name,event,event_successful,x_coord,y_coord,event_type,player_name_2,x_coord_2,y_coord_2,event_detail_1,event_detail_2,event_detail_3,frame_id,frame_id_2,time_to_shot,time_to_goal,Player_1_num,Player_2_num,player_diff,away_angle_1,away_goalie_1,away_jersey_number_1,away_team_name_1,away_vel_x_1,away_vel_y_1,away_x_ft_1,away_y_ft_1,away_angle_2,away_goalie_2,away_jersey_number_2,away_team_name_2,away_vel_x_2,away_vel_y_2,away_x_ft_2,away_y_ft_2,away_angle_3,away_goalie_3,away_jersey_number_3,away_team_name_3,away_vel_x_3,away_vel_y_3,away_x_ft_3,away_y_ft_3,away_angle_4,away_goalie_4,away_jersey_number_4,away_team_name_4,away_vel_x_4,away_vel_y_4,away_x_ft_4,away_y_ft_4,away_angle_5,away_goalie_5,away_jersey_number_5,away_team_name_5,away_vel_x_5,away_vel_y_5,away_x_ft_5,away_y_ft_5,away_angle_6,away_goalie_6,away_jersey_number_6,away_team_name_6,away_vel_x_6,away_vel_y_6,away_x_ft_6,away_y_ft_6,home_angle_1,home_goalie_1,home_jersey_number_1,home_team_name_1,home_vel_x_1,home_vel_y_1,home_x_ft_1,home_y_ft_1,home_angle_2,home_goalie_2,home_jersey_number_2,home_team_name_2,home_vel_x_2,home_vel_y_2,home_x_ft_2,home_y_ft_2,home_angle_3,home_goalie_3,home_jersey_number_3,home_team_name_3,home_vel_x_3,home_vel_y_3,home_x_ft_3,home_y_ft_3,home_angle_4,home_goalie_4,home_jersey_number_4,home_team_name_4,home_vel_x_4,home_vel_y_4,home_x_ft_4,home_y_ft_4,home_angle_5,home_goalie_5,home_jersey_number_5,home_team_name_5,home_vel_x_5,home_vel_y_5,home_x_ft_5,home_y_ft_5,home_angle_6,home_goalie_6,home_jersey_number_6,home_team_name_6,home_vel_x_6,home_vel_y_6,home_x_ft_6,home_y_ft_6,home_x_ft_1.1,home_x_ft_2.1,home_x_ft_3.1,home_x_ft_4.1,home_x_ft_5.1,home_x_ft_6.1,away_x_ft_1.1,away_x_ft_2.1,away_x_ft_3.1,away_x_ft_4.1,away_x_ft_5.1,away_x_ft_6.1,home_y_ft_1.1,home_y_ft_2.1,home_y_ft_3.1,home_y_ft_4.1,home_y_ft_5.1,home_y_ft_6.1,away_y_ft_1.1,away_y_ft_2.1,away_y_ft_3.1,away_y_ft_4.1,away_y_ft_5.1,away_y_ft_6.1,home_vel_x_1.1,home_vel_x_2.1,home_vel_x_3.1,home_vel_x_4.1,home_vel_x_5.1,home_vel_x_6.1,away_vel_x_1.1,away_vel_x_2.1,away_vel_x_3.1,away_vel_x_4.1,away_vel_x_5.1,away_vel_x_6.1,home_vel_y_1.1,home_vel_y_2.1,home_vel_y_3.1,home_vel_y_4.1,home_vel_y_5.1,home_vel_y_6.1,away_vel_y_1.1,away_vel_y_2.1,away_vel_y_3.1,away_vel_y_4.1,away_vel_y_5.1,away_vel_y_6.1,off_1,off_2,off_3,off_4,off_5,off_6,off_7,off_8,off_9,off_10,off_11,off_12,puck,goalie,Home_Plate_Control,Rink_Control,Max_Success,Max_Best,Max_Exp,Passer_Value,Max_Player_Success,Max_Player_Best,Max_Player_Exp,Max_Player_Success_X,Max_Player_Success_Y,Max_Player_Best_X,Max_Player_Best_Y,Max_Player_Exp_X,Max_Player_Exp_Y,Mean_Player_Success,Mean_Player_Best,Mean_Player_Exp,best_distance_to_net,max_distance_to_net,best_in_box,best_in_skinny,best_in_lower_triangle,best_in_upper_triangle,best_in_plate,max_in_box,max_in_skinny,max_in_lower_triangle,max_in_upper_triangle,max_in_plate,high_danger_unblocked,assumed_danger_states_old,unblocked_danger_available_combo,assumed_danger_states_new,event_1_in_skinny,event_1_in_box,event_1_in_upper,event_1_in_lower,event_1_in_plate,unblocked_danger_available_1,event_2_in_skinny,event_2_in_box,event_2_in_upper,event_2_in_lower,event_2_in_plate,unblocked_danger_available_2,distance_to_sog_1.1_1,distance_to_sog_1.1_2,distance_to_sog_2.1_1,distance_to_sog_2.1_2,distance_to_sog_3.1_1,distance_to_sog_3.1_2,distance_to_sog_4.1_1,distance_to_sog_4.1_2,distance_to_sog_5.1_1,distance_to_sog_5.1_2,distance_to_sog_6.1_1,distance_to_sog_6.1_2,distance_to_sog_1.2_1,distance_to_sog_1.2_2,distance_to_sog_2.2_1,distance_to_sog_2.2_2,distance_to_sog_3.2_1,distance_to_sog_3.2_2,distance_to_sog_4.2_1,distance_to_sog_4.2_2,distance_to_sog_5.2_1,distance_to_sog_5.2_2,distance_to_sog_6.2_1,distance_to_sog_6.2_2,distance_to_net,distance_to_net_2,angle_to_attacking_net,angle_to_attacking_net_2
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,2775,5 on 4,0,0,Brianne Jenner,Play,TRUE,15,78,Direct,Marie-Philip Poulin,61,80,NA,NA,NA,344,370,23,23,19,29,-3,2.473193012,FALSE,19,Canada,9.628467,7.6031442,9.9083671,69.39392619,1.653723363,FALSE,6,Canada,0.641787,7.7214282,30.3626393,54.290513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.763922626,TRUE,35,USA,3.084396,1.2236217,14.621292,44.20183063,2.339802902,FALSE,2,USA,6.897018,7.1269131,21.9385049,47.37174134,2.873385118,FALSE,5,USA,12.411864,3.4111443,14.9057887,61.93815443,2.905767472,FALSE,28,USA,4.475697,1.0754937,33.2508747,41.41300863,2.72797522,FALSE,25,USA,8.670141,3.8056611,44.6407002,51.26271927,NA,NA,NA,NA,NA,NA,NA,NA,14.621292,21.9385049,14.9057887,33.2508747,44.6407002,NA,9.9083671,30.3626393,NA,NA,NA,NA,44.20183063,47.37174134,61.93815443,41.41300863,51.26271927,NA,69.39392619,54.290513,NA,NA,NA,NA,3.084396,6.897018,12.411864,4.475697,8.670141,NA,9.628467,0.641787,NA,NA,NA,NA,1.2236217,7.1269131,3.4111443,1.0754937,3.8056611,NA,7.6031442,7.7214282,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,7,1,-0.775281313,-0.417410221,0.17394983,0.012173886,0.004196047,0.01697187,0.153757269,0.008026171,0.003793519,31.0044263,62.0119412,31.0044263,62.0119412,31.0044263,62.0119412,0.153757269,0.008026171,0.003793519,135.079766,135.079766,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,38.44525084,38.27224088,53.70750425,52.6382617,31.25736929,25.64710542,39.76985295,22.4450714,NA,NA,61.67594209,61.10966203,44.37728677,35.68419636,NA,NA,NA,NA,NA,NA,NA,NA,35.72464136,62.5,173.5712523,126.8698976
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,2773,5 on 4,0,0,Marie-Philip Poulin,Play,TRUE,39,82,Direct,Rebecca Johnston,57,66,NA,NA,NA,420,443,21,21,29,6,0,-3.012894041,FALSE,10,Canada,4.299996,-0.5564793,15.1243653,36.98589859,-1.174056798,FALSE,19,Canada,-3.149712,-7.5180162,16.9986403,56.71570656,-2.7325156,FALSE,6,Canada,3.388782,-1.4691534,48.5495396,57.18995656,0.192761875,FALSE,29,Canada,-13.676451,2.6694435,36.7740537,75.71543784,1.181265631,FALSE,23,Canada,-2.3139421,5.6367988,69.10185863,38.69745549,NA,NA,NA,NA,NA,NA,NA,NA,0.175476319,FALSE,5,USA,-2.423748,0.4297302,26.038276,60.42370743,-0.610129901,TRUE,35,USA,-3.109947,-2.174202,15.4588577,46.24033321,-0.665686375,FALSE,28,USA,-2.516133,-1.9758108,37.8067886,47.26336649,0.187439748,FALSE,25,USA,-14.535201,2.7568362,38.6812326,67.76154981,-0.191919487,FALSE,2,USA,-7.65543,-1.4875347,21.9017335,42.51036438,NA,NA,NA,NA,NA,NA,NA,NA,26.038276,15.4588577,37.8067886,38.6812326,21.9017335,NA,15.1243653,16.9986403,48.5495396,36.7740537,69.10185863,NA,60.42370743,46.24033321,47.26336649,67.76154981,42.51036438,NA,36.98589859,56.71570656,57.18995656,75.71543784,38.69745549,NA,-2.423748,-3.109947,-2.516133,-14.535201,-7.65543,NA,4.299996,-3.149712,3.388782,-13.676451,-2.3139421,NA,0.4297302,-2.174202,-1.9758108,2.7568362,-1.4875347,NA,-0.5564793,-7.5180162,-1.4691534,2.6694435,5.6367988,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,10,2,-0.137801556,0.323503246,0.695620629,0.038746937,0.069379784,0.010845063,0.613144388,0.038746937,0.0678846,66.78791653,44.33425429,19.4243613,36.42941929,51.9383216,55.72080316,0.312198008,0.020590462,0.031025526,114.3807008,151.5533517,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.84079996,37.14437097,5000,5000,32.29853528,20.67708141,48.51569912,29.22382376,37.61888838,32.6785471,NA,NA,37.03128854,36.20063822,52.04338917,43.50744417,34.18428658,15.62643495,56.10758065,34.54075403,7.212222258,11.08884164,NA,NA,48.41745553,51.65510623,144.6686687,117.0611061
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,2766,5 on 4,0,0,Rebecca Johnston,Play,TRUE,24,82,Direct,Marie-Philip Poulin,70,68,NA,NA,NA,605,639,14,14,6,29,0,3.080011095,FALSE,6,Canada,17.022996,1.0496298,18.8110253,73.80185969,2.590700711,FALSE,19,Canada,1.733532,1.0649661,18.7770448,51.92640411,2.815200318,FALSE,23,Canada,8.226633,2.7847062,60.3441507,35.38812368,-0.867093707,FALSE,10,Canada,-4.930704,-5.8101405,30.9682251,54.60097819,-2.786935835,FALSE,29,Canada,8.286151392,-3.068484823,68.9201982,65.72469314,NA,NA,NA,NA,NA,NA,NA,NA,2.628274497,FALSE,2,USA,3.38235,1.9067091,20.3426158,47.95927591,3.12993464,FALSE,25,USA,10.376049,0.1209696,43.6692726,49.86572013,2.957491928,FALSE,5,USA,15.326337,2.8539054,19.5077578,67.70835602,-3.133596228,TRUE,35,USA,5.136123,-0.0410715,15.8915666,45.13589186,3.076213383,FALSE,28,USA,3.028767,0.1983012,34.5752783,44.3413378,NA,NA,NA,NA,NA,NA,NA,NA,20.3426158,43.6692726,19.5077578,15.8915666,34.5752783,NA,18.8110253,18.7770448,60.3441507,30.9682251,68.9201982,NA,47.95927591,49.86572013,67.70835602,45.13589186,44.3413378,NA,73.80185969,51.92640411,35.38812368,54.60097819,65.72469314,NA,3.38235,10.376049,15.326337,5.136123,3.028767,NA,17.022996,1.733532,8.226633,-4.930704,8.286151392,NA,1.9067091,0.1209696,2.8539054,-0.0410715,0.1983012,NA,1.0496298,1.0649661,2.7847062,-5.8101405,-3.068484823,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,7,4,-0.205563975,0.177664173,0.462435373,0.031123742,0.032817161,0.008731988,0.258112751,0.02598451,0.02819856,20.5105768,52.99137021,26.0375211,48.79083769,20.5105768,52.99137021,0.183670313,0.015289052,0.012317109,124.9567009,121.6579292,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42.03363813,35.00200981,36.55218826,14.34603873,61.05386294,43.60348596,5000,5000,34.14764395,20.50201137,NA,NA,67.05976437,46.66054034,46.29135539,38.01299477,17.58735324,6.704147396,45.02069004,27.88339512,43.72238823,2.540840536,NA,NA,41.58425183,64.27480066,161.7829048,113.3741644
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,2765,5 on 4,0,0,Marie-Philip Poulin,Play,TRUE,70,68,Direct,Erin Ambrose,67,30,NA,NA,NA,650,670,13,13,29,23,0,-2.245492064,FALSE,6,Canada,8.592492,-10.7416104,38.1539598,66.56705424,0,FALSE,19,Canada,0,0,17.529129,51.83025383,-0.474980505,FALSE,29,Canada,-1.603275,-0.8244801,73.6395633,66.10890242,-2.626661887,FALSE,23,Canada,4.142913,-2.3442681,72.1726761,34.37724084,-1.131347437,FALSE,10,Canada,-3.913495987,-8.324684104,24.3979993,42.79242847,NA,NA,NA,NA,NA,NA,NA,NA,-2.205819865,FALSE,5,USA,6.623166,-8.9886426,34.5646018,59.27127014,0,FALSE,2,USA,0,0,22.7271289,47.27837765,-2.37025509,FALSE,28,USA,2.479479,-2.4107154,38.4770364,42.87265701,2.395604743,FALSE,25,USA,12.720573,11.7554664,63.3688348,56.38077744,-1.079292413,TRUE,35,USA,-0.379645479,-0.709191566,15.12556368,43.88692409,NA,NA,NA,NA,NA,NA,NA,NA,34.5646018,22.7271289,38.4770364,63.3688348,15.12556368,NA,38.1539598,17.529129,73.6395633,72.1726761,24.3979993,NA,59.27127014,47.27837765,42.87265701,56.38077744,43.88692409,NA,66.56705424,51.83025383,66.10890242,34.37724084,42.79242847,NA,6.623166,0,2.479479,12.720573,-0.379645479,NA,8.592492,0,-1.603275,4.142913,-3.913495987,NA,-8.9886426,0,-2.4107154,11.7554664,-0.709191566,NA,-10.7416104,0,-0.8244801,-2.3442681,-8.324684104,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,9,5,0.058052465,0.321744691,0.741034752,0.030432536,0.036345757,0.025848092,0.683847961,0.017807028,0.032519701,76.3155891,32.03297274,46.7464518,55.82544384,17.529129,51.83025383,0.37948857,0.011312471,0.019042816,146.7773121,118.4686901,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26.43502376,2.771240066,32.54304959,11.39460351,16.33778083,3.017216592,1.1521067,30.25393847,5000,5000,NA,NA,26.03471715,7.863796071,39.12035255,15.47611566,6.720475498,42.39728189,17.96300007,34.05278829,29.22957283,10.74114239,NA,NA,64.27480066,57.37813172,113.3741644,77.41703751
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,2763,5 on 4,0,0,Erin Ambrose,Play,TRUE,61,30,Direct,Brianne Jenner,24,43,NA,NA,NA,701,718,11,11,23,19,-1,-1.304894525,FALSE,19,Canada,-1.169745,-4.2949905,17.946545,45.09843804,-0.88991805,FALSE,6,Canada,-10.43835,-12.8850222,42.7342034,47.08080036,-0.168670901,FALSE,23,Canada,-14.653257,-2.4952866,61.7878988,27.62803046,-1.131347437,FALSE,10,Canada,-3.913495987,-8.324684104,17.74505613,28.64046549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.123142308,FALSE,28,USA,2.290014,-3.7155183,43.1619327,32.94124108,-0.4493426,FALSE,25,USA,-19.623444,-9.4632984,59.1746769,59.81506083,-0.109943856,FALSE,5,USA,-19.202346,-2.1197277,27.2352448,49.0881852,-0.526965952,FALSE,2,USA,-11.178741,-6.5043348,29.4685825,34.20121537,0.356541309,TRUE,35,USA,-16.926285,6.3043515,13.3331781,39.74132077,NA,NA,NA,NA,NA,NA,NA,NA,43.1619327,59.1746769,27.2352448,29.4685825,13.3331781,NA,17.946545,42.7342034,61.7878988,17.74505613,NA,NA,32.94124108,59.81506083,49.0881852,34.20121537,39.74132077,NA,45.09843804,47.08080036,27.62803046,28.64046549,NA,NA,2.290014,-19.623444,-19.202346,-11.178741,-16.926285,NA,-1.169745,-10.43835,-14.653257,-3.913495987,NA,NA,-3.7155183,-9.4632984,-2.1197277,-6.5043348,6.3043515,NA,-4.2949905,-12.8850222,-2.4952866,-8.324684104,NA,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,9,5,0.138706274,0.090045123,0.429536061,0.047263494,0.050201482,-0.018740574,0.199146748,0.046097797,0.017131855,16.7768,40.80344754,16.7768,40.80344754,16.7768,40.80344754,0.169649468,0.03287562,0.006394208,113.3739509,113.3739509,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5.963701664,0.18182675,28.01620403,14.78624203,5.57124597,16.71732508,7.015210683,13.9134847,5000,5000,NA,NA,15.55026424,25.84582372,8.978090139,1.152667441,22.74490013,18.63458129,19.73738182,25.41463246,NA,NA,NA,NA,51.53882032,13.00961183,75.96375653,92.20259816
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,2762,5 on 4,0,0,Rebecca Johnston,Puck Recovery,TRUE,31,34,NA,NA,NA,NA,NA,NA,NA,734,NA,10,10,6,NA,-2,-0.580885431,FALSE,10,Canada,-1.746543,-1.1464914,11.9546353,23.3596308,0.093047323,FALSE,19,Canada,-2.021961,0.1886829,22.2466706,40.09503487,-0.259532971,FALSE,6,Canada,-14.746731,-3.9155745,31.5329127,37.00253907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041864081,FALSE,28,USA,-3.815997,0.1598466,49.5007615,29.16045211,0.665090985,TRUE,35,USA,-2.658729,2.0852274,15.1599681,41.61802741,0.193232759,FALSE,5,USA,-3.064542,0.599652,22.0911499,42.30264649,0.529524173,FALSE,2,USA,-10.295499,6.0257292,21.2236508,35.39820126,-0.384621301,FALSE,25,USA,-17.78444859,-7.198810588,41.68411481,50.61243749,NA,NA,NA,NA,NA,NA,NA,NA,49.5007615,15.1599681,22.0911499,21.2236508,41.68411481,NA,11.9546353,22.2466706,31.5329127,NA,NA,NA,29.16045211,41.61802741,42.30264649,35.39820126,50.61243749,NA,23.3596308,40.09503487,37.00253907,NA,NA,NA,-3.815997,-2.658729,-3.064542,-10.295499,-17.78444859,NA,-1.746543,-2.021961,-14.746731,NA,NA,NA,0.1598466,2.0852274,0.599652,6.0257292,-7.198810588,NA,-1.1464914,0.1886829,-3.9155745,NA,NA,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,9,2,0.032186303,-0.266469008,0.504061828,0.013874362,0.047537741,-0.074112073,0.406586055,0.013708591,0.043069223,10.2080923,22.2131394,20.2247096,40.28371777,10.2080923,22.2131394,0.299171247,0.010271357,0.042462383,116.4165585,101.664493,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,13.54630813,NA,5000,5000,6.539158565,NA,10.03815394,NA,14.74314979,NA,NA,NA,23.27748964,NA,7.259514679,NA,0.077300255,NA,NA,NA,NA,NA,NA,NA,21.73131381,NA,66.97450799,NA
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,2760,5 on 4,0,0,Rebecca Johnston,Play,TRUE,39,12,Direct,Erin Ambrose,67,35,NA,NA,NA,804,830,8,8,6,23,-3,-2.687979651,FALSE,19,Canada,2.899995,-1.4138025,23.3041157,36.25847332,-3.087066562,FALSE,6,Canada,15.30525,-0.8353635,37.7024916,13.78247633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.333993148,FALSE,28,USA,4.616031,4.8256842,39.7146632,31.54981527,1.292198346,FALSE,25,USA,-1.503633,5.2567782,31.2390194,49.04968602,2.864092952,FALSE,5,USA,1.242867,0.3540297,19.772544,41.33065945,2.942136296,FALSE,2,USA,6.151764,1.2435429,22.7032378,29.77687969,1.57675992,TRUE,35,USA,0.010542,1.7677053,12.8865818,39.73591165,NA,NA,NA,NA,NA,NA,NA,NA,39.7146632,31.2390194,19.772544,22.7032378,12.8865818,NA,23.3041157,37.7024916,NA,NA,NA,NA,31.54981527,49.04968602,41.33065945,29.77687969,39.73591165,NA,36.25847332,13.78247633,NA,NA,NA,NA,4.616031,-1.503633,1.242867,6.151764,0.010542,NA,2.899995,15.30525,NA,NA,NA,NA,4.8256842,5.2567782,0.3540297,1.2435429,1.7677053,NA,-1.4138025,-0.8353635,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,8,5,-0.595667082,-0.13747513,0.224531439,0.022336685,4.35E-07,0.026132744,0.223654789,0.022187078,-0.018906306,26.2041107,34.84467082,26.2041107,34.84467082,26.2041107,34.84467082,0.223654789,0.022187078,-0.018906306,120.3583741,120.3583741,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.25443272,0.032836217,20.41392444,6.110482627,6.973234857,18.50013434,0.444056371,17.12906346,5000,5000,NA,NA,5.625096021,15.67311453,1.194698623,4.385697308,NA,NA,NA,NA,NA,NA,NA,NA,41.40350227,56.5,42.55295136,82.37185033
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,2759,5 on 4,0,0,Erin Ambrose,Play,TRUE,67,35,Direct,Rebecca Johnston,64,23,NA,NA,NA,831,856,7,7,23,6,-1,2.32721733,FALSE,23,Canada,8.654529,9.171213,66.6226595,37.71306536,2.844020604,FALSE,29,Canada,17.860254,5.4773463,46.8506371,67.11270327,2.840839903,FALSE,6,Canada,20.302419,6.2970231,51.6327105,15.86350157,2.627522413,FALSE,19,Canada,4.817157,2.7203193,27.5279071,35.83661948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.582237657,FALSE,28,USA,12.580131,7.8758082,45.972801,36.5741278,2.119841668,FALSE,2,USA,5.171067,8.4523221,28.4820724,32.60205511,2.320935313,FALSE,25,USA,4.037556,4.3328106,30.8776168,51.0558099,2.792552123,TRUE,35,USA,6.489216,2.3616954,16.4027975,40.95709569,2.684420058,FALSE,5,USA,7.753788,3.8143383,22.5712464,43.10855793,NA,NA,NA,NA,NA,NA,NA,NA,45.972801,28.4820724,30.8776168,16.4027975,22.5712464,NA,66.6226595,46.8506371,51.6327105,27.5279071,NA,NA,36.5741278,32.60205511,51.0558099,40.95709569,43.10855793,NA,37.71306536,67.11270327,15.86350157,35.83661948,NA,NA,12.580131,5.171067,4.037556,6.489216,7.753788,NA,8.654529,17.860254,20.302419,4.817157,NA,NA,7.8758082,8.4523221,4.3328106,2.3616954,3.8143383,NA,9.171213,5.4773463,6.2970231,2.7203193,NA,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,7,4,-0.472124577,0.284626328,0.920263091,0.024131459,0.035105279,0.05446925,0.915156431,0.022802498,0.021310189,64.7108911,72.59004957,32.3450641,38.55693878,64.7108911,72.59004957,0.465051629,0.008187376,0.004886267,127.3234547,169.9892742,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.836863973,12.08982282,11.0263457,5.696661283,6.202387344,2.923533055,5000,5000,15.49019499,7.616093909,NA,NA,27.45516676,31.86286449,11.76072482,23.45848528,9.697487607,10.25033865,11.54270011,5.475260866,NA,NA,NA,NA,56.5,56.47344509,82.37185033,69.80019338
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,2758,5 on 4,0,0,Rebecca Johnston,Play,TRUE,64,23,Direct,Erin Ambrose,69,48,NA,NA,NA,858,882,6,6,6,23,-1,-3.02019741,FALSE,29,Canada,19.689303,-2.4019986,61.0060777,71.21961224,2.867806877,FALSE,19,Canada,5.249094,1.474146,29.5696231,37.78067964,2.467186256,FALSE,6,Canada,11.153727,8.9168637,61.3114537,24.21157628,2.195496582,FALSE,23,Canada,4.758492,6.5995869,70.4712189,45.39817985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.08608996,FALSE,2,USA,13.415928,-0.7453857,31.8630674,33.83265072,-3.048573306,TRUE,35,USA,5.55762,-0.5184624,16.8171024,41.9498319,-3.105004905,FALSE,25,USA,9.677535,-0.3542373,34.1112358,53.17297605,2.594332802,FALSE,28,USA,3.970374,2.4193131,50.910865,40.10600686,-2.910639743,FALSE,5,USA,2.061633,-0.4847904,21.1242468,45.99912611,NA,NA,NA,NA,NA,NA,NA,NA,31.8630674,16.8171024,34.1112358,50.910865,21.1242468,NA,61.0060777,29.5696231,61.3114537,70.4712189,NA,NA,33.83265072,41.9498319,53.17297605,40.10600686,45.99912611,NA,71.21961224,37.78067964,24.21157628,45.39817985,NA,NA,13.415928,5.55762,9.677535,3.970374,2.061633,NA,19.689303,5.249094,11.153727,4.758492,NA,NA,-0.7453857,-0.5184624,-0.3542373,2.4193131,-0.4847904,NA,-2.4019986,1.474146,8.9168637,6.5995869,NA,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,9,2,-0.564261167,0.160227046,0.9824159,0.024680001,0.056128729,0.051551103,0.951530183,0.024368776,0.055845643,75.2297109,51.99776675,34.8187171,39.25482564,80.6953807,68.81761364,0.680839921,0.010652066,0.035154998,129.8923248,183.1185031,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.098698576,12.7449231,5000,5000,6.689312646,12.33260077,17.94370748,5.625575881,7.975995793,24.58434866,NA,NA,38.16137927,12.7384516,2.887847952,15.40083484,22.21633162,17.48021429,38.12834697,24.59896976,NA,NA,NA,NA,56.47344509,58.26019224,69.80019338,95.41702211
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,2755,5 on 4,0,0,Erin Ambrose,Play,TRUE,70,34,Direct,Marie-Philip Poulin,60,63,NA,NA,NA,954,975,3,3,23,29,0,-0.075031244,FALSE,19,Canada,-6.732336,-0.5060856,19.9521967,45.3559089,-2.933339923,FALSE,10,Canada,3.736296,-0.7895409,11.9377925,61.00507901,-0.758192238,FALSE,23,Canada,-10.108632,-9.5730417,72.1506833,32.03863109,-0.594990869,FALSE,6,Canada,-10.979943,-7.4313159,52.0208797,22.5635444,-0.352578646,FALSE,29,Canada,-11.99586,-4.4139186,64.1372299,60.61881581,NA,NA,NA,NA,NA,NA,NA,NA,-2.288758617,FALSE,5,USA,2.02536,-2.318754,20.2584257,48.39704812,-2.018647737,TRUE,35,USA,1.497201,-3.1165206,15.7844363,41.22840756,-0.785891878,FALSE,25,USA,-6.49032,-6.4967319,38.7169904,47.45866273,-0.814171084,FALSE,28,USA,-7.686768,-8.1423435,55.0130021,32.77527586,-0.367472568,FALSE,2,USA,-5.998863,-2.3093124,30.3811341,34.81758831,NA,NA,NA,NA,NA,NA,NA,NA,20.2584257,15.7844363,38.7169904,55.0130021,30.3811341,NA,19.9521967,11.9377925,72.1506833,52.0208797,64.1372299,NA,48.39704812,41.22840756,47.45866273,32.77527586,34.81758831,NA,45.3559089,61.00507901,32.03863109,22.5635444,60.61881581,NA,2.02536,1.497201,-6.49032,-7.686768,-5.998863,NA,-6.732336,3.736296,-10.108632,-10.979943,-11.99586,NA,-2.318754,-3.1165206,-6.4967319,-8.1423435,-2.3093124,NA,-0.5060856,-0.7895409,-9.5730417,-7.4313159,-4.4139186,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,9,2,-0.590977094,0.392477265,0.952968422,0.02228028,0.11849535,0.034891072,0.952968422,0.008963841,0.113760796,52.1413699,56.20489721,15.6740885,60.21553811,52.1413699,56.20489721,0.355705943,0.007366346,0.025056811,120.7583365,151.9206265,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.68163498,34.95173185,5000,5000,1.454492744,17.56118467,15.49019015,3.139274508,8.598741008,20.37232456,NA,NA,17.41838762,34.06050074,23.11939055,47.49376588,32.34769974,19.23341948,11.07249643,4.320221083,28.49154335,0.81028305,NA,NA,59.60914359,53.11544032,81.80193115,112.7028421
